category,name,price
jeans,Stoffhose - Mid Waist - Wide Leg,25.99
jeans,Skinny Jeans - Mid Waist - Shaping-Jeans - Flex - LYCRA®,39.99
jackets,Longblazer - Regular Fit,59.99
shirts,Basic-T-Shirt mit V-Ausschnitt,7.99
shirts,Basic-T-Shirt,7.99
jeans,Boyfriend Jeans - Mid Waist - LYCRA®,39.99
jackets,Business-Blazer - Relaxed Fit,39.99
jeans,Jegging Jeans - High Waist - Skinny Fit,19.99
jeans,Barrel Jeans - Mid Waist,39.99
jeans,Multipack 2er - Jegging Jeans - High Waist - Skinny Fit,39.99
shirts,Basic-T-Shirt,12.99
pants,Jersey-Hose - Mid Waist - Straight Fit,17.99
jeans,Mom Jeans mit Strasssteinen - High Waist,39.99
jackets,Longblazer - Regular Fit,29.99
pants,Business-Hose - High Waist - Straight Fit,25.99
dresses,Fit & Flare Kleid - geblümt,29.99
jeans,Wide Leg Jeans - Low Waist,29.99
shirts,Bluse - gestreift,19.99
jeans,Straight Jeans - Mid Waist - LYCRA®,39.99
jackets,Longblazer - Relaxed Fit - Leinen-Mix,39.99
jeans,Wide Leg Jeans - Mid Waist,39.99
jeans,Stoffhose - High Waist - Wide Leg - Leinen-Mix,39.99
shirts,T-Shirt,9.99
pants,Business-Hose - Mid Waist - Slim Fit,39.99
dresses,Mesh-Kleid - gemustert,25.99
jeans,Jersey-Hose - High Waist - Wide Leg - gemustert,17.99
dresses,Fit & Flare Kleid mit Gürtel - Leo-Print,22.99
pants,Business-Hose - High Waist - Tapered Fit - Leinen-Mix,29.99
jeans,Balloon Jeans - Mid Waist,29.99
shirts,Basic-T-Shirt mit V-Ausschnitt,7.99
dresses,Fit & Flare Kleid - Leo-Print - strukturiert - gesmokt,19.99
shirts,Multipack 2er - Top,19.99
shirts,Multipack 2er - T-Shirt,19.99
skirts,Rock - gemustert,29.99
shirts,Basic-T-Shirt,7.99
jeans,Jeansbluse,29.99
jackets,Longblazer - Regular Fit,59.99
jackets,Jacke - Velourslederimitat,49.99
jeans,Basic-Jersey-Hose - Mid Waist - Wide Leg - strukturiert,19.99
dresses,Kleid mit V-Ausschnitt und Ballonärmeln - Leo-Print,19.99
sweaters,Lange Strickjacke,29.99
shirts,Basic-T-Shirt,12.99
jeans,Leinenhose - High Waist - Wide Leg,39.99
jackets,Bikerjacke - Lederimitat,49.99
shirts,T-Shirt - gerippt - gestreift,12.99
dresses,A-Linien Kleid - geblümt,29.99
skirts,Rock,25.99
jeans,Jegging Jeans - High Waist,19.99
shirts,T-Shirt-Kleid - Leo-Print,15.99
shirts,Schleife - Top - strukturiert,6.99
shirts,Bluse,14.99
shirts,Set - Bluse und Hose - 2 teilig,34.99
shirts,Set - Bluse und Top - 2 teilig,22.99
dresses,Die Eiskönigin - Kleid mit Strasssteinen - Glanz-Effekt,22.99
shirts,Multipack 3er - Lilo & Stitch - Kurzarmshirt,19.99
shirts,Multipack 3er - Minnie Maus - Kurzarmshirt,19.99
shirts,Multipack 3er - Spider-Man - Kurzarmshirt,19.99
shirts,Multipack 2er - Lilo & Stitch - Kurzarmshirt,19.99
dresses,Minnie Maus - Set - Kleid und Tasche - 2 teilig,19.99
shirts,Die Eiskönigin - Kurzarmshirt,7.99
shirts,Die Eiskönigin - Kurzarmshirt,9.99
dresses,Lilo & Stitch - Set - Kleid und Tasche - 2 teilig,22.99
shirts,Lilo & Stitch - Kurzarmshirt,12.99
other,Die Eiskönigin - Badeanzug - LYCRA® XTRA LIFE™,12.99
jackets,Lilo & Stitch - Blouson,32.99
other,Pyjama - Micky Maus,29.99
accessories,Spider-Man - Baseballcap,8.99
other,Chip & Chap - Strampler-Set - 2 teilig,15.99
shirts,Die Eiskönigin - Kurzarmshirt,7.99
underwear,Multipack 7er - Die Eiskönigin - Slip,14.99
accessories,Minnie Maus - Baseballcap,8.99
other,Winnie Puuh - Strampler-Set - 2 teilig,15.99
pants,Multipack 2er - Minnie Maus - Flared Leggings - gerippt,17.99
other,Multipack 5er - Spider-Man - Socken mit Motiv,7.99
pants,Multipack 2er - Spider-Man - Jogginghose,22.99
other,Multipack 5er - Die Eiskönigin - Boxershorts,14.99
other,Winnie Puuh - Baby-Outfit - 3 teilig,19.99
other,Multipack 2er - Der König der Löwen - Baby-Pyjama - 4 teilig,21.99
other,Lilo & Stitch - Badeanzug - LYCRA® XTRA LIFE™ - geblümt,12.99
jeans,Lilo & Stitch - Jeans-Baseballcap,9.99
other,Der König der Löwen - Baby-Outfit - 3 teilig,17.99
jeans,Die Eiskönigin - Jeansrock mit Gürtel,15.99
other,Minnie Maus - Baby-Outfit - 3 teilig,27.99
shirts,Lilo & Stitch - Nachthemd,12.99
shirts,Lilo & Stitch - Sweatshirt,19.99
shirts,Minnie Maus - Sweatshirt,12.99
dresses,Minnie Maus - Set - Sweatkleid und Leggings - 2 teilig,22.99
accessories,Der König der Löwen - Baseballcap,8.99
sweaters,Minnie Maus - Pullover - gerippt - gestreift,17.99
jackets,Micky Maus - Baby-Jacke mit Kapuze - wasserabweisend,22.99
other,Micky Maus - Baby-Outfit - 2 teilig,17.99
shirts,Deadpool - Kurzarmshirt,12.99
sweaters,Minnie Maus - Hoodie,15.99
underwear,Multipack 7er - Minnie Maus - Slip,14.99
shirts,Nachthemd - Micky Maus - gestreift,17.99
other,Minnie Maus - Baby-Outfit - 2 teilig,15.99
other,Multipack 2er - Der König der Löwen - Baby-Beanie - gerippt,7.99
other,Micky Maus - Baby-Outfit - 2 teilig,17.99
other,Multipack 2er - Disney - Baby-Schlafanzug,21.99
other,Micky Maus - Baby-Outfit - 2 teilig,17.99
other,Minnie Maus - Strampler-Set - 2 teilig,15.99
shirts,Multipack 2er - Lilo & Stitch - Kurzarmshirt - gerippt,22.99
pants,Spider-Man - Badehose - LYCRA® XTRA LIFE™,9.99
other,Multipack 2er - Minnie Maus - Pyjama - 4 teilig,27.99
other,Multipack 5er - Minnie Maus - Socken mit Motiv,7.99
other,Tinkerbell - Baby-Pyjama - 2 teilig,12.99
other,Pyjama - Micky Maus,29.99
other,Winnie Puuh - Baby-Schlafanzug,12.99
other,Der König der Löwen - Baby-Outfit - 3 teilig,27.99
other,Spider-Man - Beanie,6.99
shirts,Spider-Man - Set - Kurzarmshirt und Shorts - 2 teilig,17.99
other,Multipack 2er - Lilo & Stitch - Bustier,14.99
shirts,Lilo & Stitch - Kurzarmshirt - gerippt,12.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Kent,19.99
shirts,Businesshemd - Slim Fit - Kent,19.99
shirts,Businesshemd - Slim Fit - Cutaway - bügelleicht,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht - gemustert,29.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Hemd - Regular Fit - Button-down,29.99
shirts,Businesshemd - Slim Fit - extra lange Ärmel - bügelleicht,25.99
shirts,Businesshemd - Regular Fit - Kent - bügelfrei - strukturiert,29.99
shirts,Businesshemd - Regular Fit - Cutaway - bügelleicht,39.99
shirts,Hemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Body Fit - Cutaway - bügelleicht - LYCRA®,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelfrei,29.99
shirts,Businesshemd - Slim Fit - Cutaway - gemustert,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht - gemustert,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht - gemustert,29.99
shirts,Businesshemd - Regular Fit - Cutaway - bügelleicht,39.99
shirts,Businesshemd - Slim Fit - Cutaway - bügelleicht,29.99
shirts,Businesshemd - Body Fit - Cutaway - Flex,25.99
shirts,Businesshemd - Slim Fit - Kent,29.99
shirts,Businesshemd - Regular Fit - Kent - gestreift,39.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Cutaway - bügelleicht,29.99
shirts,Businesshemd - Body Fit - Cutaway - LYCRA®,25.99
shirts,Businesshemd - Regular Fit - Cutaway - bügelleicht,39.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Regular Fit - Kent - bügelleicht,29.99
shirts,Businesshemd - Slim Fit - Kent - bügelleicht,29.99
sweaters,Kaschmir-Pullover mit V-Ausschnitt,79.99
sweaters,Pullover - gestreift,35.99
sweaters,Pullover - strukturiert,19.99
sweaters,Strickjacke,35.99
sweaters,Pullover - gerippt,29.99
shirts,Poloshirt,19.99
sweaters,Pullover - strukturiert,25.99
shirts,Poloshirt - strukturiert,25.99
sweaters,Pullover - gerippt,29.99
sweaters,Pullover - gestreift,29.99
sweaters,Pullover,29.99
sweaters,Pullover - strukturiert,25.99
shirts,Poloshirt - gestreift - strukturiert,25.99
sweaters,Pullover mit V-Ausschnitt - gerippt,29.99
shirts,Strick-Poloshirt - strukturiert,25.99
sweaters,Pullover - gerippt,15.99
sweaters,Kapuzenpullover - strukturiert,25.99
sweaters,Pullover - gestreift,19.99
shirts,Poloshirt - strukturiert,29.99
sweaters,Pullover - gestreift - strukturiert,29.99
sweaters,Pullover,19.99
sweaters,Pullover - strukturiert,35.99
sweaters,Strickjacke - strukturiert,29.99
sweaters,Kapuzenpullover - strukturiert,25.99
shirts,Poloshirt - strukturiert,29.99
shirts,Poloshirt - strukturiert,29.99
shirts,Poloshirt - strukturiert,29.99
sweaters,Pullover - strukturiert,29.99
sweaters,Pullover - strukturiert,29.99
sweaters,Strickjacke - gerippt,35.99
pants,Baukasten-Hose - Slim Fit - Flex - 4 Way Stretch - LYCRA®,39.99
other,Baukasten-Sakko - Regular Fit - Flex - 4 Way Stretch,79.99
pants,Baukasten-Hose - Regular Fit - Flex - LYCRA® - Mix & Match,39.99
shirts,Baukasten-Hose - Body Fit - Flex - 4 Way Stretch - LYCRA®,39.99
other,Baukasten-Sakko - Slim Fit - Flex - 4 Way Stretch - LYCRA®,79.99
pants,Baukasten-Schurwoll-Hose - Regular Fit,89.99
other,Baukasten-Sakko - Regular Fit - Flex,79.99
pants,Baukasten-Hose - Slim Fit - Flex - LYCRA®,39.99
pants,Baukasten-Hose - Slim Fit - Flex,49.99
pants,Baukasten-Hose - Regular Fit - Flex - Schurwoll-Mix,79.99
shirts,Baukasten-Sakko - Body Fit - Flex - LYCRA®,79.99
pants,Baukasten-Hose - Regular Fit - Flex,39.99
shirts,Poloshirt,12.99
pants,Baukasten-Hose - Slim Fit - Stretch - kariert,49.99
pants,Baukasten-Hose - Regular Fit - Stretch - kariert,49.99
other,Krawatte,12.99
other,Krawatte,12.99
other,Baukasten-Weste - Slim Fit - Flex,49.99
pants,Baukasten-Hose - Regular Fit - Flex,39.99
other,Krawatte,12.99
other,Seidenkrawatte,19.99
shirts,Blusenkleid - Leo-Print - strukturiert,35.99
dresses,Kleid mit V-Ausschnitt - gemustert,29.99
shirts,T-Shirt-Kleid,19.99
dresses,Fit & Flare Kleid mit Gürtel - geblümt,22.99
dresses,A-Linien Kleid - gemustert,22.99
shirts,Blusenkleid mit V-Ausschnitt und Gürtel - Broderie Anglaise,49.99
shirts,Blusenkleid - gemustert - strukturiert,35.99
dresses,A-Linien Kleid - Leo-Print,25.99
dresses,Chiffon-Kleid,25.99
shirts,Blusenkleid,25.99
dresses,Viskose-Kleid - gemustert,25.99
dresses,Chiffon-Kleid - geblümt,39.99
shirts,Blusenkleid - gestreift,19.99
dresses,A-Linien Kleid - geblümt,22.99
sweaters,Crop Strickjacke,25.99
sweaters,Lange Strickjacke,25.99
sweaters,Strickjacke,19.99
sweaters,Strickjacke,35.99
sweaters,Strickjacke - gerippt,25.99
sweaters,Lange Strickjacke,25.99
sweaters,Strickjacke - gerippt - gestreift,29.99
sweaters,Strickjacke - gestreift,25.99
sweaters,Strickjacke,25.99
sweaters,Strickjacke,25.99
other,Strick-Weste - gerippt,22.99
sweaters,Strickjacke - strukturiert,25.99
other,Strick-Weste,25.99
jackets,Sweatjacke - gestreift,22.99
sweaters,Strickjacke,19.99
sweaters,Strickjacke,19.99
sweaters,Crop Strickjacke - gerippt,22.99
sweaters,Crop Strickjacke - gerippt - gestreift,22.99
sweaters,Strickjacke,22.99
sweaters,Crop Strickjacke - gerippt,25.99
shirts,Set - Strick-Top und Bolero - 2 teilig,39.99
sweaters,Strickjacke,25.99
other,Strick-Weste,17.99
sweaters,Lange Strickjacke,25.99
sweaters,Basic-Strickjacke,7.99
sweaters,Strickjacke - Zopfmuster,29.99
sweaters,Crop Strickjacke - Leo-Print,12.99
sweaters,Basic-Strickjacke,12.99
sweaters,Strickjacke - gestreift,25.99
sweaters,Strickjacke,17.99
sweaters,Strickjacke,19.99
other,Häschen - Strampler-Set - 2 teilig,12.99
other,Schaf - Strampler-Set - 2 teilig,12.99
other,Bärchen - Strampler-Set - 2 teilig,12.99
other,Bärchen - Strampler-Set - 2 teilig,12.99
other,Winnie Puuh - Strampler-Set - 2 teilig,15.99
other,Micky Maus - Strampler-Set - 2 teilig,15.99
other,Dino - Strampler-Set - 2 teilig,12.99
other,Giraffe - Strampler-Set - 2 teilig,12.99
jeans,Bootcut Jeans - Mid Waist,39.99
jeans,Jegging Jeans - High Waist,19.99
jeans,Jegging Jeans - High Waist,19.99
jeans,Bootcut Jeans - Mid Waist,39.99
jeans,Straight Jeans - Mid Waist - LYCRA®,39.99
jeans,Premium Denim by C&A - Straight Jeans - Mid Waist - LYCRA®,59.99
jeans,Baggy Jeans - Mid Waist,29.99
jeans,Slim Jeans - Mid Waist - Shaping Jeans - LYCRA®,39.99
jeans,Premium Denim by C&A - Skinny Jeans - Mid Waist,59.99
other,Parka mit Kapuze,59.99
shirts,T-Shirt - geblümt,12.99
jeans,Straight Jeans - High Waist,39.99
accessories,Cape mit Kapuze - faltbar - wasserabweisend - Leo-Print,35.99
shirts,Multipack 2er - Basic-T-Shirt,15.99
jeans,Jeansjacke,35.99
jackets,Trenchcoat,49.99
jeans,Jeansbluse,29.99
jeans,Wide Flared Jeans - Mid Waist,29.99
jeans,Jeansrock - LYCRA®,29.99
jeans,Stoffhose - Mid Waist - Wide Leg - Jeans-Look,25.99
jackets,Bouclé-Blouson,49.99
jeans,Jeansjacke,29.99
jeans,Wide Leg Jeans - Mid Waist,39.99
shirts,Bluse,25.99
shirts,Bluse - Leo-Print,22.99
jeans,Wide Leg Jeans - Mid Waist,45.99
jeans,Jeansrock,25.99
jackets,Trenchcoat - Lederimitat,59.99
jeans,Straight Jeans - High Waist,39.99
jeans,Crop Flared Jeans - High Waist,35.99
jeans,Jeans-Trenchcoat,69.99
jeans,Jeansbluse,39.99
jackets,Satin-Blouson,39.99
other,Strick-Weste,25.99
jackets,Trenchcoat,39.99
shirts,T-Shirt,9.99
jackets,Jacke,59.99
shirts,T-Shirt - Relaxed Fit,9.99
jeans,Jeanshemd - Relaxed Fit - Kent - gestreift,29.99
jeans,Regular Jeans,29.99
shirts,Sweatshirt,17.99
jeans,Jeanshemd - Regular Fit - Kent,25.99
jeans,Regular Jeans,29.99
jackets,Jacke,49.99
accessories,Cap,12.99
shirts,T-Shirt - Regular Fit - strukturiert,12.99
jeans,Premium Denim by C&A - Slim Jeans - LYCRA®,59.99
jackets,Bomberjacke,35.99
jeans,Skinny Jeans,25.99
jeans,Jeanshemd,29.99
jeans,Relaxed Jeans,39.99
shirts,T-Shirt - Regular Fit,12.99
jeans,Jeansjacke,39.99
jeans,Wide Leg Jeans,39.99
shirts,Sweatshirt,22.99
shirts,T-Shirt - Relaxed Fit,9.99
jeans,Wide Leg Jeans,29.99
jeans,Jeans-Cap,15.99
jeans,Jeanshemd - Relaxed Fit,29.99
shirts,Sweatshirt - Relax Fit - kurzarm,15.99
jeans,Slim Jeans - Flex Jog Denim,39.99
accessories,Bauchtasche,15.99
jeans,Jeans-Blouson,35.99
sweaters,Hoodie,25.99
jeans,Hose - Baggy Fit,29.99
accessories,Schiebermütze,15.99
jeans,Cargo Jeans,39.99
jeans,Jeansjacke,39.99
jeans,Baggy Jeans,29.99
jackets,Jacke,49.99
shirts,Sweatshirt,19.99
jeans,Relaxed Jeans,39.99
shirts,T-Shirt - Regular Fit,7.99
jeans,Jeansjacke,49.99
accessories,Cap,12.99
jeans,Straight Jeans - LYCRA®,39.99
jeans,Regular Jeans,39.99
jeans,Straight Jeans - Flex - Jog Denim - LYCRA®,39.99
jeans,Skinny Jeans - LYCRA®,25.99
jeans,Jeanshemd - Regular Fit - Kent,25.99
jeans,Slim Jeans,49.99
shirts,Satin-Bluse - gemustert,19.99
shirts,Bluse - gemustert,25.99
shirts,Bluse mit V-Ausschnitt - gemustert,25.99
shirts,Bluse - Broderie Anglaise,19.99
shirts,Musselin-Bluse,19.99
shirts,Bluse,19.99
shirts,Bluse - Leinen-Mix,29.99
shirts,Bluse,19.99
shirts,Bluse - gestreift,15.99
shirts,Bluse,25.99
other,Business-Weste - Nadelstreifen,29.99
shirts,Bluse - gemustert,25.99
shirts,Bluse mit V-Ausschnitt - geblümt,12.99
shirts,Crop Bluse,19.99
shirts,Bluse - gestreift,22.99
shirts,Bluse - gestreift,19.99
shirts,Bluse - strukturiert,15.99
shirts,Popeline-Bluse,17.99
shirts,Musselin-Bluse,19.99
shirts,Bluse - gestreift,19.99
shirts,Bluse - gemustert,22.99
shirts,Bluse,19.99
shirts,Bluse,29.99
shirts,Bluse - gestreift,15.99
shirts,Bluse - geblümt,22.99
shirts,Bluse - gestreift,19.99
shirts,Chiffon-Bluse,19.99
shirts,Popeline-Bluse - gestreift,17.99
other,Tunika - Leinen-Mix,25.99
shirts,Bluse - gemustert,19.99
other,Shacket - Velourslederimitat,39.99
other,Weste - gestreift,22.99
shirts,Bluse,22.99
shirts,Bluse - geblümt,25.99
shirts,Bluse - gestreift,17.99
shirts,Bluse - gemustert,19.99
shirts,Basic-Bluse - geblümt,17.99
other,Corsage,29.99
shirts,Bluse,39.99
shirts,Bluse - geblümt,15.99
